epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.063,3.26612,2.79099,3.08458,0.30794,0.34233,0.2507,0.09095,2.39017,3.18435,2.73502,0.0701596,0.0033156,0.0033156
2,206.825,2.11246,1.57448,2.05495,0.63867,0.55372,0.59554,0.25226,1.89632,1.85278,2.24215,0.0400937,0.00658311,0.00658311
3,273.355,1.83937,1.36555,1.8126,0.25025,0.25693,0.18494,0.07251,2.27312,7.59121,2.70098,0.00996193,0.00978462,0.00978462
4,340.582,1.7238,1.22183,1.7252,0.70256,0.62166,0.68716,0.36046,1.6032,2.58018,2.01086,0.009703,0.009703,0.009703
5,405.709,1.65042,1.09759,1.65981,0.78631,0.66705,0.78561,0.43022,1.54317,1.73598,1.9341,0.009604,0.009604,0.009604
6,473.564,1.61148,1.01839,1.62596,0.85429,0.67512,0.78114,0.42138,1.64619,1.63877,2.04254,0.009505,0.009505,0.009505
7,540.148,1.58598,0.95382,1.60428,0.80318,0.7244,0.80946,0.4437,1.56889,1.36455,1.92755,0.009406,0.009406,0.009406
8,608.683,1.55827,0.92515,1.58533,0.88635,0.79003,0.86604,0.48013,1.56892,1.11144,1.92731,0.009307,0.009307,0.009307
9,675.917,1.53877,0.88142,1.56533,0.87738,0.75958,0.84596,0.45537,1.57149,1.08473,1.95125,0.009208,0.009208,0.009208
10,743.847,1.52219,0.86576,1.55868,0.77435,0.66218,0.74184,0.394,1.84821,1.39211,2.09947,0.009109,0.009109,0.009109
11,810.066,1.50267,0.84072,1.54406,0.81752,0.68694,0.77412,0.42704,1.73998,1.38002,2.01627,0.00901,0.00901,0.00901
12,876.605,1.48997,0.82543,1.52779,0.83039,0.74362,0.81905,0.46857,1.57601,1.1058,1.89821,0.008911,0.008911,0.008911
13,945.113,1.48248,0.81542,1.52496,0.89741,0.81029,0.89901,0.53965,1.40795,0.90572,1.77718,0.008812,0.008812,0.008812
14,1013.04,1.46453,0.79469,1.51358,0.8795,0.76927,0.85753,0.49774,1.51272,1.05296,1.84552,0.008713,0.008713,0.008713
15,1080.02,1.46159,0.79005,1.51193,0.86823,0.78102,0.86498,0.50092,1.52656,0.95236,1.86208,0.008614,0.008614,0.008614
16,1148.55,1.457,0.77886,1.50356,0.90573,0.82048,0.89774,0.53562,1.43417,0.88877,1.79128,0.008515,0.008515,0.008515
17,1217.33,1.43571,0.76041,1.49082,0.909,0.83146,0.90293,0.52934,1.46076,0.90922,1.81784,0.008416,0.008416,0.008416
18,1286.89,1.43462,0.75865,1.4933,0.90838,0.81685,0.89747,0.54163,1.43317,0.86755,1.77716,0.008317,0.008317,0.008317
19,1352.13,1.42947,0.75099,1.48496,0.92324,0.8171,0.90384,0.55286,1.36963,0.92225,1.74184,0.008218,0.008218,0.008218
20,1418.19,1.41953,0.73862,1.48032,0.92537,0.83257,0.91262,0.56463,1.36751,0.86838,1.74794,0.008119,0.008119,0.008119
21,1486.45,1.41577,0.73407,1.48095,0.87704,0.79558,0.86153,0.51065,1.52974,0.95406,1.85301,0.00802,0.00802,0.00802
22,1552.04,1.41333,0.72698,1.47728,0.90815,0.82318,0.90102,0.54451,1.42985,0.83961,1.77508,0.007921,0.007921,0.007921
23,1618.55,1.39996,0.72067,1.46784,0.9296,0.83985,0.91887,0.54654,1.43553,0.79118,1.77346,0.007822,0.007822,0.007822
